scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,low,exogenous,175,160266,1.0,76.2283
baseline,low,exogenous,176,657925,1.0,79.938
baseline,low,exogenous,177,167754,1.0,80.1684
baseline,low,exogenous,178,830556,1.0,80.1831
baseline,low,exogenous,179,713537,1.0,74.4188
baseline,low,exogenous,180,442667,1.0,79.6816
baseline,low,exogenous,181,625381,1.0,76.1569
baseline,low,exogenous,182,66614,1.0,74.5617
baseline,low,exogenous,183,403458,1.0,73.0545
baseline,low,exogenous,184,400157,1.0,75.2195
baseline,low,exogenous,185,624835,1.0,75.3543
baseline,low,exogenous,186,490786,1.0,74.1542
baseline,low,exogenous,187,554817,1.0,79.2649
baseline,low,exogenous,188,263627,1.0,75.8578
baseline,low,exogenous,189,580100,1.0,77.4072
baseline,low,exogenous,190,902593,1.0,74.242
baseline,low,exogenous,191,988211,1.0,76.9529
baseline,low,exogenous,192,12039,1.0,77.6213
baseline,low,exogenous,193,713329,1.0,77.4107
baseline,low,exogenous,194,755732,1.0,81.2435
baseline,low,exogenous,195,120117,1.0,75.8671
baseline,low,exogenous,196,714826,1.0,78.5266
baseline,low,exogenous,197,927768,1.0,81.4164
baseline,low,exogenous,198,563055,1.0,77.3011
baseline,low,exogenous,199,787353,1.0,70.8687
supply_quota,low,endogenous,0,670488,0.3667,57.3329
supply_quota,low,endogenous,1,116740,0.9,73.7809
supply_quota,low,endogenous,2,26226,0.4667,53.1692
supply_quota,low,endogenous,3,777573,0.9,77.0298
supply_quota,low,endogenous,4,288390,0.7333,68.9416
supply_quota,low,endogenous,5,256788,0.7667,71.8705
supply_quota,low,endogenous,6,234054,0.5667,59.1618
supply_quota,low,endogenous,7,146317,0.8333,73.7684
supply_quota,low,endogenous,8,772247,0.6667,69.8827
supply_quota,low,endogenous,9,107474,0.9667,85.683
supply_quota,low,endogenous,10,709571,0.6333,64.7406
supply_quota,low,endogenous,11,776647,0.9,83.2623
supply_quota,low,endogenous,12,935519,0.8333,74.8827
supply_quota,low,endogenous,13,571859,0.8333,73.9702
supply_quota,low,endogenous,14,91162,0.5333,48.8653
supply_quota,low,endogenous,15,619177,0.6667,73.0067
supply_quota,low,endogenous,16,442418,0.9667,76.3
supply_quota,low,endogenous,17,33327,0.9,83.9186
supply_quota,low,endogenous,18,31245,0.9,77.6483
supply_quota,low,endogenous,19,98247,0.9333,77.968
supply_quota,low,endogenous,20,229259,0.9667,81.6891
supply_quota,low,endogenous,21,243963,0.7333,81.3671
supply_quota,low,endogenous,22,529904,0.8,78.8299
supply_quota,low,endogenous,23,631263,0.6667,72.1534
supply_quota,low,endogenous,24,27825,0.5667,63.6079
supply_quota,low,endogenous,25,588509,0.7333,75.0075
supply_quota,low,endogenous,26,208497,0.7,75.1486
supply_quota,low,endogenous,27,750801,0.8,70.9069
supply_quota,low,endogenous,28,681454,0.5,69.5443
supply_quota,low,endogenous,29,735393,0.3,56.7434
supply_quota,low,endogenous,30,571413,0.5333,69.7655
supply_quota,low,endogenous,31,439899,0.7333,80.9546
supply_quota,low,endogenous,32,231149,0.7,61.4271
supply_quota,low,endogenous,33,471030,0.7,69.9219
supply_quota,low,endogenous,34,617890,0.9667,84.0732
supply_quota,low,endogenous,35,291705,0.4667,62.334
supply_quota,low,endogenous,36,848750,0.8667,75.0616
supply_quota,low,endogenous,37,911528,0.8,73.3128
supply_quota,low,endogenous,38,6815,0.8,74.0538
supply_quota,low,endogenous,39,795668,0.8333,74.697
supply_quota,low,endogenous,40,844963,0.5667,70.2316
