scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,mid,exogenous,55,888663,1.0,35.9538
baseline,mid,exogenous,56,360664,1.0,21.8276
baseline,mid,exogenous,57,633053,1.0,18.0351
baseline,mid,exogenous,58,277371,1.0,23.3834
baseline,mid,exogenous,59,846336,1.0,35.2989
baseline,mid,exogenous,60,45562,1.0,33.2095
baseline,mid,exogenous,61,765180,1.0,23.5731
baseline,mid,exogenous,62,481742,1.0,28.2654
baseline,mid,exogenous,63,562276,1.0,20.813
baseline,mid,exogenous,64,130890,1.0,33.3482
baseline,mid,exogenous,65,967097,1.0,32.9848
baseline,mid,exogenous,66,396923,1.0,21.1917
baseline,mid,exogenous,67,82628,1.0,25.1575
baseline,mid,exogenous,68,578857,1.0,23.6762
baseline,mid,exogenous,69,307420,1.0,26.7855
baseline,mid,exogenous,70,869694,1.0,31.831
baseline,mid,exogenous,71,659177,1.0,22.4484
baseline,mid,exogenous,72,648565,1.0,29.5356
baseline,mid,exogenous,73,928464,1.0,26.916
baseline,mid,exogenous,74,903566,1.0,37.6187
baseline,mid,exogenous,75,379202,1.0,40.1181
baseline,mid,exogenous,76,605398,1.0,22.731
baseline,mid,exogenous,77,201630,1.0,19.4541
baseline,mid,exogenous,78,738798,1.0,19.9875
baseline,mid,exogenous,79,72934,1.0,27.9709
baseline,mid,exogenous,80,48051,1.0,34.1022
baseline,mid,exogenous,81,693385,1.0,17.5549
baseline,mid,exogenous,82,238969,1.0,41.2993
baseline,mid,exogenous,83,810621,1.0,28.2968
baseline,mid,exogenous,84,303446,1.0,28.6873
baseline,mid,exogenous,85,83668,1.0,37.0839
baseline,mid,exogenous,86,896866,1.0,18.3674
baseline,mid,exogenous,87,244099,1.0,26.7852
baseline,mid,exogenous,88,908574,1.0,26.6324
baseline,mid,exogenous,89,105908,1.0,29.9206
baseline,mid,exogenous,90,398592,1.0,32.074
baseline,mid,exogenous,91,291477,1.0,27.5982
baseline,mid,exogenous,92,475436,1.0,33.8301
baseline,mid,exogenous,93,666564,1.0,35.5968
baseline,mid,exogenous,94,874629,1.0,41.2913
baseline,mid,exogenous,95,382555,1.0,28.984
baseline,mid,exogenous,96,170556,1.0,31.0577
baseline,mid,exogenous,97,388163,1.0,21.1816
baseline,mid,exogenous,98,372529,1.0,33.7293
baseline,mid,exogenous,99,219685,1.0,22.8169
baseline,mid,exogenous,100,702730,1.0,29.1321
baseline,mid,exogenous,101,279947,1.0,25.6716
baseline,mid,exogenous,102,735912,1.0,25.6665
baseline,mid,exogenous,103,982154,1.0,37.3195
baseline,mid,exogenous,104,716752,1.0,29.5919
baseline,mid,exogenous,105,679515,1.0,27.3618
baseline,mid,exogenous,106,74871,1.0,38.0111
baseline,mid,exogenous,107,638721,1.0,37.0559
baseline,mid,exogenous,108,665823,1.0,22.1645
baseline,mid,exogenous,109,179452,1.0,28.128
baseline,mid,exogenous,110,560087,1.0,38.8455
baseline,mid,exogenous,111,764545,1.0,16.0785
