scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,exogenous,94,874629,1.0,41.2913,1.0,1.0,1.0
baseline,exogenous,95,382555,1.0,28.984,1.0,1.0,1.0
baseline,exogenous,96,170556,1.0,31.0577,1.0,1.0,1.0
baseline,exogenous,97,388163,1.0,21.1816,1.0,1.0,1.0
baseline,exogenous,98,372529,1.0,33.7293,1.0,1.0,1.0
baseline,exogenous,99,219685,1.0,22.8169,1.0,1.0,1.0
baseline,exogenous,100,702730,1.0,29.1321,1.0,1.0,1.0
baseline,exogenous,101,279947,1.0,25.6716,1.0,1.0,1.0
baseline,exogenous,102,735912,1.0,25.6665,1.0,1.0,1.0
baseline,exogenous,103,982154,1.0,37.3195,1.0,1.0,1.0
baseline,exogenous,104,716752,1.0,29.5919,1.0,1.0,1.0
baseline,exogenous,105,679515,1.0,27.3618,1.0,1.0,1.0
baseline,exogenous,106,74871,1.0,38.0111,1.0,1.0,1.0
baseline,exogenous,107,638721,1.0,37.0559,1.0,1.0,1.0
baseline,exogenous,108,665823,1.0,22.1645,1.0,1.0,1.0
baseline,exogenous,109,179452,1.0,28.128,1.0,1.0,1.0
baseline,exogenous,110,560087,1.0,38.8455,1.0,1.0,1.0
baseline,exogenous,111,764545,1.0,16.0785,1.0,1.0,1.0
baseline,exogenous,112,256703,1.0,27.1657,1.0,1.0,1.0
baseline,exogenous,113,171340,1.0,31.337,1.0,1.0,1.0
baseline,exogenous,114,484715,1.0,33.0157,1.0,1.0,1.0
baseline,exogenous,115,397888,1.0,32.9338,1.0,1.0,1.0
baseline,exogenous,116,283061,1.0,34.0518,1.0,1.0,1.0
baseline,exogenous,117,970343,1.0,27.9917,1.0,1.0,1.0
baseline,exogenous,118,671089,1.0,27.0525,1.0,1.0,1.0
baseline,exogenous,119,721591,1.0,24.0944,1.0,1.0,1.0
baseline,exogenous,120,584005,1.0,32.7455,1.0,1.0,1.0
baseline,exogenous,121,230284,1.0,22.5686,1.0,1.0,1.0
